chr= 1A
marker	composite	KPxKC_2012_1A	SynOp_GBS_antmap_1A	SynOp_GBS_binmap_1A	wsnp2013_1A
IWA6145	62.9	62.9	NA	NA	148.28
IWA2487	62.9	62.9	NA	NA	NA
IWA2488	62.9	62.9	NA	NA	NA
IWA2490	62.9	62.9	NA	NA	NA
IWA3406	62.9	62.9	NA	NA	147.16
IWA6382	62.9	NA	NA	NA	142.6
IWA931	62.9	NA	NA	NA	142.89
IWA3496	62.9	NA	NA	NA	142.89
IWA6595	62.9	NA	NA	NA	142.89
IWA2703	62.9	NA	NA	NA	147.72
synopGBS102346	63.2	NA	NA	77	NA
synopGBS121438	63.2	NA	NA	77	NA
synopGBS126492	63.2	NA	NA	77	NA
IWA2485	63.46	NA	NA	NA	148.28
IWA2489	63.46	NA	NA	NA	148.28
IWA2484	63.46	NA	NA	NA	149.44
IWA5776	63.46	NA	NA	NA	149.44
IWA1979	63.5	63.5	NA	NA	NA
IWA6729	63.5	63.5	NA	NA	152.03
IWA601	63.5	63.5	NA	NA	NA
synopGBS111609	64.2	NA	NA	78	NA
synopGBS111610	64.2	NA	NA	78	NA
synopGBS111611	64.2	NA	NA	78	NA
synopGBS111612	64.2	NA	NA	78	NA
synopGBS127991	64.2	NA	NA	78	NA
synopGBS127992	64.2	NA	NA	78	NA
synopGBS127993	64.2	NA	NA	78	NA
IWA2314	64.8	64.8	NA	NA	153.15
IWA1740	64.8	NA	NA	NA	152.03
IWA6710	64.8	NA	NA	NA	152.03
synopGBS110171	65.2	NA	NA	79	NA
synopGBS128529	65.2	NA	NA	79	NA
IWA2541	66.1	66.1	NA	NA	154.24
IWA3340	66.1	66.1	NA	NA	154.24
IWA3859	66.1	66.1	NA	NA	159.7
IWA5493	66.1	66.1	NA	NA	160.2
IWA339	66.1	66.1	NA	NA	NA
IWA3614	66.1	66.1	NA	NA	NA
IWA6624	66.1	66.1	NA	NA	NA
IWA7144	66.1	66.1	NA	NA	NA
IWA7145	66.1	66.1	NA	NA	NA
synopGBS114236	66.2	NA	NA	80	NA
synopGBS117216	66.2	NA	NA	80	NA
synopGBS117217	66.2	NA	NA	80	NA
synopGBS117218	66.2	NA	NA	80	NA
synopGBS113432	66.2	NA	NA	80	NA
IWA3405	66.6	NA	NA	NA	160.2
IWA5534	66.6	NA	NA	NA	160.2
IWA7570	66.6	NA	NA	NA	160.2
synopGBS104541	67.2	NA	NA	81	NA
synopGBS104542	67.2	NA	NA	81	NA
synopGBS129721	67.2	NA	NA	81	NA
synopGBS129722	67.2	NA	NA	81	NA
synopGBS129723	67.2	NA	NA	81	NA
synopGBS102483	67.2	NA	NA	81	NA
synopGBS123643	67.2	NA	NA	81	NA
synopGBS109115	68.2	NA	NA	82	NA
synopGBS124179	68.2	NA	NA	82	NA
synopGBS115916	68.2	NA	NA	82	NA
synopGBS128318	68.2	NA	NA	82	NA
IWA4080	69.14	NA	NA	NA	164.66
synopGBS109114	69.2	NA	NA	83	NA
synopGBS127660	69.2	NA	NA	83	NA
synopGBS108183	69.2	NA	NA	83	NA
synopGBS105388	69.2	NA	NA	83	NA
IWA3980	69.61	NA	NA	NA	165.13
IWA6176	69.61	NA	NA	NA	165.13
synopGBS102168	70.2	NA	NA	84	NA
IWA531	70.2	70.2	NA	NA	165.72
IWA8223	70.2	NA	NA	NA	165.72
IWA4538	71.9	71.9	NA	NA	NA
IWA6934	71.9	71.9	NA	NA	167.84
synopGBS128381	72.2	NA	NA	86	NA
synopGBS128382	72.2	NA	NA	86	NA
synopGBS128383	72.2	NA	NA	86	NA
IWA4537	72.32	NA	NA	NA	168.26
IWA1081	73	73	NA	NA	NA
synopGBS123212	74.2	NA	NA	88	NA
synopGBS129679	75.2	NA	NA	89	NA
IWA3434	75.8	75.8	NA	NA	175.23
IWA3435	75.8	75.8	NA	NA	175.23
IWA3804	75.8	75.8	NA	NA	175.23
IWA3805	75.8	75.8	NA	NA	NA
IWA6042	75.8	75.8	NA	NA	NA
IWA7754	75.8	75.8	NA	NA	NA
IWA145	75.8	NA	NA	NA	175.8
IWA8482	75.8	NA	NA	NA	175.8
IWA147	75.8	NA	NA	NA	178.05
IWA5047	76.9	76.9	NA	NA	179.63
IWA3195	76.9	76.9	NA	NA	NA
IWA136	76.9	76.9	NA	NA	179.63
synopGBS125	77.35	NA	53.14	91	NA
IWA135	77.38	NA	NA	NA	179.63
IWA3060	77.38	NA	NA	NA	179.63
IWA3962	77.38	NA	NA	NA	179.63
IWA8334	77.38	NA	NA	NA	179.63
IWA254	77.38	NA	NA	NA	184.17
IWA24	77.38	NA	NA	NA	184.67
IWA25	77.38	NA	NA	NA	184.67
IWA5333	77.38	NA	NA	NA	184.67
IWA5754	77.38	NA	NA	NA	184.67
IWA3146	77.38	NA	NA	NA	187.5
IWA5911	77.38	NA	NA	NA	194.21
IWA7591	77.38	NA	NA	NA	214.08
synopGBS210	78.22	NA	54.01	95	NA
synopGBS103713	79.22	NA	NA	95	NA
synopGBS115870	79.22	NA	NA	95	NA
synopGBS112422	79.22	NA	NA	95	NA
synopGBS106918	79.22	NA	NA	96	NA
synopGBS105458	79.34	NA	NA	101	NA
synopGBS101351	79.34	NA	NA	101	NA
synopGBS101352	79.34	NA	NA	101	NA
synopGBS101353	79.34	NA	NA	101	NA
synopGBS101354	79.34	NA	NA	101	NA
synopGBS128488	79.34	NA	NA	101	NA
synopGBS128489	79.34	NA	NA	101	NA
synopGBS105	79.77	NA	55.56	102	NA
synopGBS102605	80.34	NA	NA	102	NA
synopGBS129643	80.34	NA	NA	102	NA
synopGBS128085	80.34	NA	NA	102	NA
synopGBS122737	81.34	NA	NA	103	NA
synopGBS115228	83.34	NA	NA	105	NA
synopGBS123573	83.34	NA	NA	105	NA
synopGBS107409	83.34	NA	NA	105	NA
synopGBS113611	83.34	NA	NA	105	NA
synopGBS112695	83.34	NA	NA	105	NA
synopGBS103603	83.34	NA	NA	105	NA
synopGBS109026	83.34	NA	NA	105	NA
synopGBS116156	83.34	NA	NA	105	NA
synopGBS122645	84.34	NA	NA	106	NA
synopGBS122646	84.34	NA	NA	106	NA
synopGBS128220	84.34	NA	NA	106	NA
synopGBS110841	84.34	NA	NA	106	NA
synopGBS114304	84.34	NA	NA	106	NA
synopGBS120571	84.34	NA	NA	106	NA
synopGBS113628	84.34	NA	NA	106	NA
synopGBS113629	84.34	NA	NA	106	NA
synopGBS113630	84.34	NA	NA	106	NA
IWA1395	84.99	NA	NA	NA	227.42
IWA1587	84.99	NA	NA	NA	227.42
IWA7428	84.99	NA	NA	NA	228.06
synopGBS104521	85.34	NA	NA	107	NA
synopGBS102999	85.34	NA	NA	107	NA
synopGBS116633	85.34	NA	NA	107	NA
synopGBS121153	85.34	NA	NA	107	NA
synopGBS103828	86.34	NA	NA	108	NA
synopGBS128421	86.34	NA	NA	108	NA
IWA1790	87	87	NA	NA	NA
IWA5822	87	87	NA	NA	NA
IWA6081	87	87	NA	NA	NA
synopGBS128478	87.34	NA	NA	109	NA
synopGBS128479	87.34	NA	NA	109	NA
IWA6253	87.44	NA	NA	NA	230.51
IWA2783	88.3	88.3	NA	NA	NA
synopGBS510	88.88	NA	64.67	109	NA
IWA6252	88.93	NA	NA	NA	232
synopGBS102863	89.34	NA	NA	111	NA
synopGBS108407	89.34	NA	NA	111	NA
synopGBS108408	89.34	NA	NA	111	NA
synopGBS121152	89.34	NA	NA	111	NA
synopGBS117317	89.34	NA	NA	111	NA
synopGBS102430	89.34	NA	NA	111	NA
synopGBS105724	89.34	NA	NA	111	NA
IWA2450	89.77	NA	NA	NA	232.84
IWA3409	89.77	NA	NA	NA	232.84
IWA4713	89.77	NA	NA	NA	232.84
IWA6506	90.06	NA	NA	NA	233.13
IWA7315	90.33	NA	NA	NA	233.4
synopGBS1355	90.34	NA	66.13	112	NA
synopGBS111430	91.5	NA	NA	115	NA
synopGBS102838	91.5	NA	NA	115	NA
synopGBS102839	91.5	NA	NA	115	NA
synopGBS106175	91.5	NA	NA	115	NA
synopGBS101434	91.5	NA	NA	115	NA
synopGBS123642	91.5	NA	NA	115	NA
synopGBS110531	91.5	NA	NA	115	NA
synopGBS110532	91.5	NA	NA	115	NA
synopGBS114793	91.5	NA	NA	115	NA
synopGBS124562	91.5	NA	NA	116	NA
synopGBS110887	91.5	NA	NA	116	NA
synopGBS126522	91.5	NA	NA	116	NA
synopGBS111964	91.5	NA	NA	116	NA
synopGBS126813	91.5	NA	NA	116	NA
synopGBS126814	91.5	NA	NA	116	NA
IWA8135	92.2	92.2	NA	NA	NA
synopGBS854	92.5	NA	68.29	117	NA
synopGBS120650	93.5	NA	NA	118	NA
synopGBS100569	93.5	NA	NA	118	NA
synopGBS126702	93.5	NA	NA	118	NA
synopGBS106469	93.5	NA	NA	118	NA
synopGBS114497	93.5	NA	NA	118	NA
synopGBS110727	93.5	NA	NA	118	NA
synopGBS115565	93.5	NA	NA	118	NA
synopGBS104840	93.5	NA	NA	118	NA
synopGBS111119	93.5	NA	NA	118	NA
synopGBS114879	93.5	NA	NA	118	NA
synopGBS116885	93.5	NA	NA	118	NA
synopGBS116917	93.5	NA	NA	118	NA
synopGBS111071	93.5	NA	NA	118	NA
synopGBS122614	94.5	NA	NA	119	NA
synopGBS114922	94.5	NA	NA	119	NA
synopGBS114923	94.5	NA	NA	119	NA
synopGBS114924	94.5	NA	NA	119	NA
synopGBS124398	94.5	NA	NA	119	NA
synopGBS104158	94.5	NA	NA	119	NA
synopGBS106285	94.5	NA	NA	119	NA
synopGBS109745	94.5	NA	NA	119	NA
synopGBS112195	94.5	NA	NA	119	NA
synopGBS114505	94.5	NA	NA	119	NA
synopGBS116897	94.5	NA	NA	119	NA
synopGBS126721	94.5	NA	NA	119	NA
synopGBS127239	94.5	NA	NA	119	NA
synopGBS108631	94.5	NA	NA	119	NA
synopGBS108781	94.5	NA	NA	119	NA
synopGBS105189	94.5	NA	NA	119	NA
synopGBS106144	94.5	NA	NA	119	NA
synopGBS106145	94.5	NA	NA	119	NA
synopGBS109010	94.5	NA	NA	119	NA
synopGBS115470	94.5	NA	NA	119	NA
synopGBS115471	94.5	NA	NA	119	NA
synopGBS122533	94.5	NA	NA	119	NA
synopGBS122534	94.5	NA	NA	119	NA
synopGBS123829	94.5	NA	NA	119	NA
synopGBS124055	94.5	NA	NA	119	NA
synopGBS100163	94.5	NA	NA	119	NA
synopGBS106051	94.5	NA	NA	119	NA
synopGBS113880	94.5	NA	NA	119	NA
synopGBS118174	94.5	NA	NA	119	NA
synopGBS124595	94.5	NA	NA	119	NA
IWA6152	95.1	95.1	NA	NA	243.44
synopGBS119273	95.5	NA	NA	120	NA
synopGBS102697	95.5	NA	NA	120	NA
synopGBS108972	95.5	NA	NA	120	NA
synopGBS111917	95.5	NA	NA	120	NA
synopGBS111918	95.5	NA	NA	120	NA
synopGBS112431	95.5	NA	NA	120	NA
synopGBS124556	95.5	NA	NA	120	NA
synopGBS129555	95.5	NA	NA	120	NA
synopGBS104815	95.5	NA	NA	120	NA
synopGBS106436	95.5	NA	NA	120	NA
synopGBS113584	95.5	NA	NA	120	NA
synopGBS115309	95.5	NA	NA	120	NA
synopGBS115530	95.5	NA	NA	120	NA
synopGBS119134	95.5	NA	NA	120	NA
synopGBS121783	95.5	NA	NA	120	NA
synopGBS123659	95.5	NA	NA	120	NA
synopGBS128114	95.5	NA	NA	120	NA
synopGBS104601	95.5	NA	NA	120	NA
synopGBS112102	95.5	NA	NA	120	NA
synopGBS114348	95.5	NA	NA	120	NA
synopGBS114683	95.5	NA	NA	120	NA
synopGBS123474	95.5	NA	NA	120	NA
synopGBS115898	95.5	NA	NA	120	NA
synopGBS122536	95.5	NA	NA	120	NA
synopGBS129870	95.5	NA	NA	120	NA
synopGBS129871	95.5	NA	NA	120	NA
synopGBS105168	95.5	NA	NA	120	NA
synopGBS125778	95.5	NA	NA	120	NA
WMC59	96.4	96.4	NA	NA	NA
synopGBS129326	96.5	NA	NA	121	NA
synopGBS105850	96.5	NA	NA	121	NA
synopGBS111032	96.5	NA	NA	121	NA
synopGBS105821	96.5	NA	NA	121	NA
synopGBS113763	96.5	NA	NA	121	NA
synopGBS117973	96.5	NA	NA	121	NA
synopGBS129832	96.5	NA	NA	121	NA
synopGBS129833	96.5	NA	NA	121	NA
synopGBS129834	96.5	NA	NA	121	NA
synopGBS129835	96.5	NA	NA	121	NA
synopGBS109366	96.5	NA	NA	121	NA
synopGBS111514	96.5	NA	NA	121	NA
synopGBS114642	96.5	NA	NA	121	NA
synopGBS118829	96.5	NA	NA	121	NA
synopGBS125846	96.5	NA	NA	121	NA
synopGBS126006	96.5	NA	NA	121	NA
synopGBS100926	96.5	NA	NA	121	NA
synopGBS122672	96.5	NA	NA	121	NA
synopGBS129751	96.5	NA	NA	121	NA
synopGBS112034	97.5	NA	NA	122	NA
synopGBS101826	97.5	NA	NA	122	NA
synopGBS113632	97.5	NA	NA	122	NA
synopGBS115293	97.5	NA	NA	122	NA
synopGBS115294	97.5	NA	NA	122	NA
