NOTE: The map data file must be a tab delimited file. Mandatory fields are Marker, Start_pos and Chrom. Marker should be the first column. 
Optional columns include Arm, End_pos, and Bin.  Other information about the markers such as synonyms, 
annotation, and links to other websites, must be added using the marker upload page.


Marker	Start_pos	Chrom	
2_0290	70.37	1H
3_0505	71.44	1H
1_0686	73.6	1H
2_0229	73.6	1H
2_0120	73.6	1H
3_0742	73.6	1H
1_0006	74.67	1H
2_1126	74.67	1H
2_0121	77.9	1H
2_0990	77.9	1H
2_0657	77.9	1H
1_0830	86.59	1H
2_0434	86.59	1H
2_0550	86.59	1H
3_1160	86.59	1H
2_0937	87.67	1H
2_1446	87.67	1H
2_0475	87.67	1H
3_0546	87.67	1H
1_0433	88.74	1H
1_1008	88.74	1H
3_1163	88.74	1H
2_1373	88.74	1H
1_0396	89.82	1H
1_0865	89.82	1H
3_1192	89.82	1H
1_0822	90.89	1H
1_1277	90.89	1H
3_1319	90.89	1H
1_0522	93.04	1H
2_0169	94.12	1H
2_0754	94.12	1H
1_0357	94.12	1H
1_0111	95.19	1H
2_0187	95.19	1H
2_0909	95.19	1H
2_0267	95.19	1H
3_1152	95.19	1H
3_0509	97.35	1H
2_0220	100.58	1H
2_0844	101.65	1H
1_0231	101.65	1H
2_0021	101.65	1H
1_0905	107.05	1H
2_1392	107.05	1H
1_0854	113.54	1H
1_0858	117.85	1H
1_1528	117.85	1H
2_0908	117.85	1H
2_1038	117.85	1H
1_0586	118.92	1H
1_1443	118.92	1H
1_0722	121.08	1H
2_1140	121.08	1H
1_1481	121.08	1H
3_0403	121.08	1H
3_1377	121.08	1H
1_0644	121.08	1H
1_0693	123.23	1H
2_0383	127.54	1H
1_0782	127.54	1H
1_1496	130.77	1H
2_0599	130.77	1H
1_1509	130.77	1H
2_0603	130.77	1H
3_0277	130.77	1H
3_0517	130.77	1H
2_0138	134	1H
2_0840	134	1H
1_0590	134	1H
2_0915	134	1H
1_0746	134	1H
3_0231	134	1H
2_0509	134	1H
2_0772	134	1H
1_0443	134	1H
2_0429	134	1H
3_0934	134	1H
3_0048	134	1H
3_1224	0	2H
1_1059	4.31	2H
3_0781	6.46	2H
2_1377	6.46	2H
1_0592	6.46	2H
2_0774	7.54	2H
2_1532	7.54	2H
2_0563	7.54	2H
3_0402	8.62	2H
3_0155	8.62	2H
3_1497	8.62	2H
2_1416	8.62	2H
2_0430	8.62	2H
2_0261	8.62	2H
1_1119	8.62	2H
1_0502	8.62	2H
2_0112	9.69	2H
2_1423	9.69	2H
3_1534	10.77	2H
2_0964	12.92	2H
2_0107	12.92	2H
3_1284	15.07	2H
2_0633	18.3	2H
1_0777	18.3	2H
1_0180	18.3	2H
2_1015	24.79	2H
2_0394	24.79	2H
2_1366	24.79	2H
2_1265	24.79	2H
2_1261	24.79	2H
2_1187	25.86	2H
1_0891	28.02	2H
1_0660	28.02	2H
1_0307	28.02	2H
2_1304	35.6	2H
2_0173	41	2H
1_0525	42.07	2H
1_1073	42.07	2H
1_0919	43.15	2H
1_0399	43.15	2H
3_0657	43.15	2H
1_0837	43.15	2H
1_0296	43.15	2H
3_0432	45.3	2H
1_0648	45.3	2H
1_0342	47.45	2H
2_1338	48.53	2H
3_0363	49.6	2H
2_1227	49.6	2H
1_0084	49.6	2H
2_0672	52.83	2H
3_1169	53.91	2H
2_0846	53.91	2H
2_0519	53.91	2H
1_0498	54.98	2H
2_1005	54.98	2H
3_0691	54.98	2H
3_0604	54.98	2H
2_0674	54.98	2H
1_0297	54.98	2H
1_0234	54.98	2H
3_1474	56.06	2H
1_1522	56.06	2H
2_1388	56.06	2H
3_0259	56.06	2H
2_1096	56.06	2H
1_0733	56.06	2H
1_0325	56.06	2H
1_1272	57.13	2H
1_1015	57.13	2H
3_0634	58.21	2H
1_0898	58.21	2H
1_1133	58.21	2H
1_0796	58.21	2H
1_0602	58.21	2H
2_0500	58.21	2H
1_0485	58.21	2H
1_0330	58.21	2H
3_0853	58.21	2H
3_0828	58.21	2H
3_0042	58.21	2H
2_1286	58.21	2H
1_1046	58.21	2H
1_0624	58.21	2H
1_0070	58.21	2H
1_0012	58.21	2H
2_0039	58.21	2H
1_0474	58.21	2H
3_1302	58.21	2H
3_1175	58.21	2H
3_0582	58.21	2H
3_0561	58.21	2H
3_0514	58.21	2H
3_0179	58.21	2H
2_0160	58.21	2H
2_0669	58.21	2H
1_1354	58.21	2H
1_1178	58.21	2H
1_0317	58.21	2H
2_0458	58.21	2H
2_0417	58.21	2H
2_0032	58.21	2H
1_0099	58.21	2H
1_0035	58.21	2H
3_0724	59.29	2H
3_0323	59.29	2H
3_0275	59.29	2H
3_0265	59.29	2H
3_0108	59.29	2H
2_0585	59.29	2H
2_0067	59.29	2H
1_1504	59.29	2H
1_1324	59.29	2H
1_1278	59.29	2H
1_0909	59.29	2H
1_0632	59.29	2H
2_1399	59.29	2H
2_0887	59.29	2H
2_0532	59.29	2H
2_0438	59.29	2H
2_0390	59.29	2H
1_0692	59.29	2H
1_0685	59.29	2H
1_0191	59.29	2H
3_1256	59.29	2H
3_1252	59.29	2H
2_0442	59.29	2H
2_0374	59.29	2H
2_1094	59.29	2H
1_1001	59.29	2H
2_1166	60.36	2H
2_1110	61.44	2H
1_0545	62.51	2H
2_1144	62.51	2H
3_1020	67.91	2H
2_1251	67.91	2H
2_0833	67.91	2H
1_0717	67.91	2H
2_0667	67.91	2H
2_0528	67.91	2H
2_1078	67.91	2H
1_0719	67.91	2H
2_0947	67.91	2H
1_0831	67.91	2H
1_0650	67.91	2H
3_1394	67.91	2H
3_1380	67.91	2H
3_0674	67.91	2H
2_1156	67.91	2H
2_0960	67.91	2H
2_0734	67.91	2H
1_0952	67.91	2H
3_0178	68.98	2H
3_0696	68.98	2H
2_0699	68.98	2H
1_0818	68.98	2H
1_0196	68.98	2H
3_1445	68.98	2H
2_0489	68.98	2H
2_1282	70.06	2H
3_1293	70.06	2H
1_0859	70.06	2H
2_1242	72.21	2H
1_1214	72.21	2H
1_0823	72.21	2H
